userName,content,score,at,label_num,label,text_Clean,text_Normalization,text_StopWord,text_Tokenization,text_Stemmindo,text_String
Pengguna Google,perlu bayar,2,2025-05-13 11:22:28,-1,negative,perlu bayar,perlu bayar,bayar,['bayar'],['bayar'],bayar
Pengguna Google,"males banget, dulu gratis skrng malah di suruh beli yg premium",1,2025-05-13 10:59:18,-1,negative,males banget dulu gratis skrng malah di suruh beli yg premium,malas banget dulu gratis sekarang malah di suruh beli yang premium,malas banget gratis suruh beli premium,"['malas', 'banget', 'gratis', 'suruh', 'beli', 'premium']","['malas', 'banget', 'gratis', 'suruh', 'beli', 'premium']",malas banget gratis suruh beli premium
Pengguna Google,good,5,2025-05-13 10:34:20,1,positive,good,good,good,['good'],['good'],good
Pengguna Google,bgus,5,2025-05-13 10:22:00,1,positive,bgus,bagus,bagus,['bagus'],['bagus'],bagus
Pengguna Google,gak bisa login,1,2025-05-13 10:04:12,-1,negative,gak bisa login,tidak bisa login,login,['login'],['login'],login
Pengguna Google,sejak ada getcontact aku malah jadi takut kalau no ku di hack.,1,2025-05-13 09:41:23,-1,negative,sejak ada getcontact aku malah jadi takut kalau no ku di hack,sejak ada getcontact aku malah jadi takut kalau no ku di hack,getcontact takut no ku hack,"['getcontact', 'takut', 'no', 'ku', 'hack']","['getcontact', 'takut', 'no', 'ku', 'hack']",getcontact takut hack
Pengguna Google,"aplikasi kenapa begini tiba tiba dana saya di sedot tanpa memverifikasi dulu ke saya ,tiba tiba kesedot sendiri jadi dana saya hilang.tolong apakah bisa di refound atau di kembalikan soalnya di nyedot tanpa sepengetahuan saya 🙏🙏",2,2025-05-13 09:31:17,-1,negative,aplikasi kenapa begini tiba tiba dana saya di sedot tanpa memverifikasi dulu ke saya tiba tiba kesedot sendiri jadi dana saya hilang tolong apakah bisa di refound atau di kembalikan soalnya di nyedot tanpa sepengetahuan saya,aplikasi kenapa begini tiba tiba dana saya di sedot tanpa memverifikasi dulu ke saya tiba tiba kesedot sendiri jadi dana saya hilang tolong apakah bisa di refound atau di kembalikan soalnya di nyedot tanpa sepengetahuan saya,aplikasi dana sedot memverifikasi kesedot dana hilang tolong refound kembalikan nyedot sepengetahuan,"['aplikasi', 'dana', 'sedot', 'memverifikasi', 'kesedot', 'dana', 'hilang', 'tolong', 'refound', 'kembalikan', 'nyedot', 'sepengetahuan']","['aplikasi', 'dana', 'sedot', 'verifikasi', 'sedot', 'dana', 'hilang', 'tolong', 'refound', 'kembali', 'nyedot', 'tahu']",aplikasi dana sedot verifikasi sedot dana hilang tolong refound kembali nyedot tahu
Pengguna Google,baguss,5,2025-05-13 09:29:40,1,positive,baguss,bagus,bagus,['bagus'],['bagus'],bagus
Pengguna Google,ini aplikasi susah bgt buat login,1,2025-05-13 09:26:35,-1,negative,ini aplikasi susah bgt buat login,ini aplikasi susah banget buat login,aplikasi susah banget login,"['aplikasi', 'susah', 'banget', 'login']","['aplikasi', 'susah', 'banget', 'login']",aplikasi susah banget login
Pengguna Google,mantep deh,5,2025-05-13 09:24:40,1,positive,mantep deh,mantap deh,mantap deh,"['mantap', 'deh']","['mantap', 'deh']",mantap
Pengguna Google,mantap,5,2025-05-13 08:50:08,1,positive,mantap,mantap,mantap,['mantap'],['mantap'],mantap
Pengguna Google,apaan semuanya premium jadiin aplikasi berbayar aja sekalian,1,2025-05-13 08:45:53,-1,negative,apaan semuanya premium jadiin aplikasi berbayar aja sekalian,apaan semuanya premium jadikan aplikasi berbayar saja sekalian,premium jadikan aplikasi berbayar,"['premium', 'jadikan', 'aplikasi', 'berbayar']","['premium', 'jadi', 'aplikasi', 'bayar']",premium jadi aplikasi bayar
Pengguna Google,udah berlangganan premium tp gabisa hapus komentar/ laporin komentar yang menurut saya itu tidak pantas dan menganggu privasi saya tapi ga digubris sama sekali. parah banget si aplikasi ini percuma langganan,1,2025-05-13 08:04:05,-1,negative,udah berlangganan premium tp gabisa hapus komentar laporin komentar yang menurut saya itu tidak pantas dan menganggu privasi saya tapi ga digubris sama sekali parah banget si aplikasi ini percuma langganan,sudah berlangganan premium tapi tidak bisa hapus komentar laporin komentar yang menurut saya itu tidak pantas dan menganggu privasi saya tapi tidak digubris sama sekali parah banget sih aplikasi ini percuma langganan,berlangganan premium hapus komentar laporin komentar menganggu privasi digubris parah banget sih aplikasi langganan,"['berlangganan', 'premium', 'hapus', 'komentar', 'laporin', 'komentar', 'menganggu', 'privasi', 'digubris', 'parah', 'banget', 'sih', 'aplikasi', 'langganan']","['langgan', 'premium', 'hapus', 'komentar', 'laporin', 'komentar', 'menganggu', 'privasi', 'gubris', 'parah', 'banget', 'sih', 'aplikasi', 'langgan']",langgan premium hapus komentar laporin komentar menganggu privasi gubris parah banget aplikasi langgan
Pengguna Google,bagus bangett,5,2025-05-13 08:02:18,1,positive,bagus bangett,bagus banget,bagus banget,"['bagus', 'banget']","['bagus', 'banget']",bagus banget
Pengguna Google,🥰🥰🥰,5,2025-05-13 08:01:37,1,positive,,,,[],[],
Pengguna Google,harus bayar,1,2025-05-13 07:34:38,-1,negative,harus bayar,harus bayar,bayar,['bayar'],['bayar'],bayar
Pengguna Google,sangat bagus untuk mencari informasi tentang orang yg tidak di kenal,5,2025-05-13 07:33:03,1,positive,sangat bagus untuk mencari informasi tentang orang yg tidak di kenal,sangat bagus untuk mencari informasi tentang orang yang tidak di kenal,bagus mencari informasi orang kenal,"['bagus', 'mencari', 'informasi', 'orang', 'kenal']","['bagus', 'cari', 'informasi', 'orang', 'kenal']",bagus cari informasi orang kenal
